ligID,exactmw,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumHeavyAtoms,NumAtoms,NumHeteroatoms,NumAmideBonds,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,labuteASA,tpsa,CrippenClogP,CrippenMR,chi0v,chi1v,chi2v,chi3v,chi4v,chi0n,chi1n,chi2n,chi3n,chi4n,hallKierAlpha,kappa1,kappa2,kappa3,Phi,maxring,newmw,newsmiles,aa,dipep,linear_peptide,macrocycle,Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,is_pos,activity_count,is_pos_avg,datapt_descs,target_ID,ligand
4,1033.4545330760002,1034.1369999999995,22,13,30,13,12,75,138,22,6,0.33962264150943394,5,5,0,0,1,1,0,0,0,0,7,0,431.34661517742416,346.58,1.369700000000013,273.3394999999997,41.33815702578378,24.27925185819801,12.019381046078983,12.019381046078983,7.930900489444091,41.33815702578378,24.27925185819801,12.019381046078983,12.019381046078983,7.930900489444091,-8.629999999999999,57.27349495366147,28.5690081676594,18.4227946596064,21.816625934954057,6,1034.1369999999995,CCCC[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc1ccccc1)NN[C@@H](Cc1ccccc1)C(=O)NCC(=O)N[C@H](C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)O,TRUE,FALSE,TRUE,FALSE,CHEMBL375412,NA,None,1034.14,None,None,4,CCCC[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc1ccccc1)NN[C@@H](Cc1ccccc1)C(=O)NCC(=O)N[C@H](C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)O,IC50,'=',3.236,nM,8.49,NA,NA,UO_0000065,8.21,None,None,None,0,CHEMBL861286,Displacement of [3H]DPDPE from human delta opioid receptor expressed in HN9.10 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,NA,NA,NA,CHEMBL236,Homo sapiens,SINGLE PROTEIN,CHEMBL1138152,1,Scientific Literature,J Med Chem,2006,None,NA,1,4,1,"IC503.236'='nM, Ki1.4'='nM, EC509.333'='nM, EC509.4'='nM",DOR,CHEMBL375412 NA
5,1211.553912764,1212.368,24,12,31,12,15,88,165,24,6,0.4375,9,5,4,4,1,1,0,0,0,4,7,0,507.82852379134505,362.02,3.652500000000014,319.6908000000005,49.0241524540923,29.83908933101499,16.71276241299119,16.71276241299119,12.435140624110517,49.0241524540923,29.83908933101499,16.71276241299119,16.71276241299119,12.435140624110517,-9.160000000000002,64.8295268858858,30.457757467070714,17.739846611464607,22.438204620400565,6,1212.368,CCCC[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc1ccccc1)NN[C@@H](Cc1ccccc1)C(=O)NCC(=O)N[C@H](C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O)C(=O)N[C@H](Cc1cn(C(=O)OC2C3CC4CC(C3)CC2C4)c2ccccc12)C(=O)O,TRUE,FALSE,TRUE,FALSE,CHEMBL438739,NA,None,1212.37,None,None,3,CCCC[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc1ccccc1)NN[C@@H](Cc1ccccc1)C(=O)NCC(=O)N[C@H](C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O)C(=O)N[C@H](Cc1cn(C(=O)OC2C3CC4CC(C3)CC2C4)c2ccccc12)C(=O)O,Ki,'=',3.4,nM,8.47,NA,NA,UO_0000065,6.99,None,None,None,0,CHEMBL861286,Displacement of [3H]DPDPE from human delta opioid receptor expressed in HN9.10 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,NA,NA,NA,CHEMBL236,Homo sapiens,SINGLE PROTEIN,CHEMBL1138152,1,Scientific Literature,J Med Chem,2006,None,NA,1,4,1,"Ki3.4'='nM, IC507.762'='nM, EC505.623'='nM, EC505.6'='nM",DOR,CHEMBL438739 NA
8,1266.482935204,1267.4299999999998,19,11,18,10,12,88,160,27,8,0.4426229508196721,7,5,2,2,3,1,2,2,0,0,7,0,511.9293871469173,286.04999999999995,6.112200000000016,320.4208000000004,50.75275812515853,30.585923090031713,19.296173680505888,19.296173680505888,13.132889172933195,49.11976496330308,28.436093175770655,15.054968800795384,15.054968800795384,10.319148933389572,-7.780000000000001,67.72301691373252,28.583478475670617,17.944839261775222,21.997265866603986,14,1267.4299999999998,CC(C)C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(C)(C)SSC1(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,TRUE,FALSE,FALSE,TRUE,CHEMBL1214024,NA,None,1267.43,None,None,2,CC(C)C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(C)(C)SSC1(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,EC50,'=',3.2,nM,8.49,NA,NA,UO_0000065,NA,NA,NA,NA,0,CHEMBL1217620,Agonist activity at human opioid delta receptor expressed in mouse HN9.10 cells assessed as [35S]GTPgammaS binding,F,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,NA,NA,NA,CHEMBL236,Homo sapiens,SINGLE PROTEIN,CHEMBL1212839,1,Scientific Literature,J Med Chem,2010,None,NA,1,4,1,"EC503.2'='nM, IC503.631'='nM, Ki1.7'='nM, EC503.162'='nM",DOR,CHEMBL1214024 NA
9,257.177964356,257.377,2,1,0,1,2,19,42,2,0,0.6470588235294118,4,1,3,2,1,0,1,1,0,2,3,0,114.98234033967138,23.47,3.080400000000002,76.48180000000005,11.73092600525388,7.732446141362216,6.097938762852655,6.097938762852655,5.184725920382588,11.73092600525388,7.732446141362216,6.097938762852655,6.097938762852655,5.184725920382588,-1.02,11.777526538052946,3.9864831544266135,1.52534755078502,2.47110058656634,6,257.377,CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,FALSE,FALSE,FALSE,FALSE,CHEMBL592,LEVORPHANOL,4.0,257.38,0,3.08,Levorphanol,CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,Ki,'=',4.2,nM,8.38,NA,NA,UO_0000065,32.55,0.60,5.30,35.69,0,CHEMBL2050635,Displacement of [3H]-naltrindole from human delta opioid receptor expressed in CHO cells after 3 hrs by scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,NA,NA,NA,CHEMBL236,Homo sapiens,SINGLE PROTEIN,CHEMBL2046406,1,Scientific Literature,J Med Chem,2012,CHEMBL3308072,NA,1,10,1,"Ki4.2'='nM, IC502.9'='nM, Ki4.2'='nM, Ki4.2'='nM, Ki4.2'='nM, Ki4.2'='nM, Ki4.2'='nM, IC505.1'='nM, Ki4.2'='nM, Ki4.2'='nM",DOR,CHEMBL592 LEVORPHANOL
23,459.2158064080001,459.54600000000033,7,2,5,2,6,34,63,7,1,0.5185185185185185,7,2,5,3,3,1,1,2,1,2,4,0,198.058582404809,91.76,2.287,123.66250000000004,19.126499111277024,12.513839249436572,9.043014865003212,9.043014865003212,7.522826815213336,19.126499111277024,12.513839249436572,9.043014865003212,9.043014865003212,7.522826815213336,-2.9299999999999997,20.443861843482633,7.0421979370995755,2.6442981990273435,4.234403579427121,6,459.54600000000033,O=C(Cc1ccccn1)N[C@@]12CCC(=O)[C@@H]3Oc4c(O)ccc5c4[C@@]31CCN(CC1CC1)[C@@H]2C5,FALSE,FALSE,FALSE,FALSE,CHEMBL3086754,NA,None,496.01,0,2.29,18,Cl.O=C(Cc1ccccn1)N[C@@]12CCC(=O)[C@@H]3Oc4c(O)ccc5c4[C@@]31CCN(CC1CC1)[C@@H]2C5,Ki,'=',3.92,nM,8.41,NA,NA,UO_0000065,18.29,0.34,6.12,9.16,0,CHEMBL3089527,Displacement of [3H]NTI from delta opioid receptor (unknown origin) expressed in CHO cell membranes after 1.5 hrs,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,NA,NA,NA,CHEMBL236,Homo sapiens,SINGLE PROTEIN,CHEMBL3085727,1,Scientific Literature,J Med Chem,2013,CHEMBL3308072,NA,1,1,1,Ki3.92'='nM,DOR,CHEMBL3086754 NA
25,415.214743788,415.5330000000002,4,1,2,1,4,31,60,4,0,0.4444444444444444,6,2,4,3,1,0,1,1,0,4,4,1,183.07883614715897,49.77,4.351600000000004,120.27580000000002,18.22706715094319,11.394730276579969,8.898015018109357,8.898015018109357,7.838995126026847,18.22706715094319,11.394730276579969,8.898015018109357,8.898015018109357,7.838995126026847,-2.5899999999999994,19.12213383716106,6.457856437679146,2.2642041626937335,3.983483712982992,6,415.5330000000002,COc1ccc2c(c1O)[C@]13CCN(C)C(C2)[C@]12CCC(=O)[C@H]3/C(=C/c1ccccc1)C2,FALSE,FALSE,FALSE,FALSE,CHEMBL109040,NA,None,415.53,0,4.35,3a,COc1ccc2c(c1O)[C@]13CCN(C)C(C2)[C@]12CCC(=O)[C@H]3/C(=C/c1ccccc1)C2,EC50,'=',4.19,nM,8.38,NA,NA,UO_0000065,NA,NA,NA,NA,0,CHEMBL751917,Agonistic activity towards Opioid receptor delta 1,F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,NA,NA,NA,CHEMBL236,Homo sapiens,SINGLE PROTEIN,CHEMBL1145844,1,Scientific Literature,J Med Chem,2003,None,NA,1,2,1,"EC504.19'='nM, Ki5.5'='nM",DOR,CHEMBL109040 NA
27,457.236541852,457.5740000000003,6,3,4,3,4,34,65,6,1,0.4642857142857143,7,3,4,1,3,1,1,2,1,2,4,1,198.8441842013042,77.59,4.106500000000003,130.29420000000002,19.77947339375048,12.626378899987117,9.20600726725033,9.20600726725033,7.77955510399621,19.77947339375048,12.626378899987117,9.20600726725033,9.20600726725033,7.77955510399621,-2.9899999999999993,20.3889840861051,6.785149218070154,2.275553716601143,4.068891159678849,6,457.5740000000003,CCCCC(=O)N[C@@]12Cc3c([nH]c4ccccc34)[C@@H]3Oc4c(O)ccc5c4[C@@]31CCN(C)C2C5,FALSE,FALSE,FALSE,FALSE,CHEMBL2113381,NA,None,457.57,0,4.11,6b,CCCCC(=O)N[C@@]12Cc3c([nH]c4ccccc34)[C@@H]3Oc4c(O)ccc5c4[C@@]31CCN(C)C2C5,EC50,'=',3.3,nM,8.48,NA,NA,UO_0000065,NA,NA,NA,NA,0,CHEMBL751922,"Stimulation of [35S]GTP-gamma-S, binding at human recombinant Opioid receptor delta 1 transfected into CHO cells.",F,BAO_0000219,cell-based format,None,None,None,CHO,None,NA,NA,NA,CHEMBL236,Homo sapiens,SINGLE PROTEIN,CHEMBL1144921,1,Scientific Literature,J Med Chem,2003,CHEMBL3308072,NA,1,2,1,"EC503.3'='nM, Ki2.07'='nM",DOR,CHEMBL2113381 NA
31,1232.585743396,1233.3659999999998,19,10,27,9,10,88,166,25,8,0.4603174603174603,6,5,1,1,2,1,1,1,0,0,7,0,506.228891878755,277.26,6.329140000000015,316.38110000000034,50.217101783055696,29.193361392297373,15.34770165746184,15.34770165746184,10.74927100690074,50.217101783055696,29.193361392297373,15.34770165746184,15.34770165746184,10.74927100690074,-8.480000000000004,68.63062856779376,30.431936916461428,19.010532755683617,23.73366998991131,6,1233.3659999999998,CCCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1c(C)cc(O)cc1C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N(C)Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1,TRUE,FALSE,TRUE,FALSE,CHEMBL1766205,NA,None,1233.37,None,None,"4, TY052",CCCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1c(C)cc(O)cc1C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N(C)Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1,EC50,'=',2.3,nM,8.64,NA,NA,UO_0000065,NA,NA,NA,NA,0,CHEMBL1769561,Agonist activity at human opioid delta receptor expressed in mouse HN9.10 cells assessed as [35S]GTPgammaS binding,F,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,NA,NA,NA,CHEMBL236,Homo sapiens,SINGLE PROTEIN,CHEMBL1765015,1,Scientific Literature,J Med Chem,2011,None,NA,1,4,1,"EC502.3'='nM, Ki0.46'='nM, EC507.079'='nM, IC500.9772'='nM",DOR,CHEMBL1766205 NA
34,366.210741704,366.48,3,1,5,1,2,27,54,4,1,0.34782608695652173,3,2,1,1,1,0,1,1,0,0,0,0,160.4441797549916,32.34,4.493000000000004,108.21920000000006,16.09486919960934,9.720330246358229,5.1451333994016535,5.1451333994016535,3.670320605350885,16.09486919960934,9.720330246358229,5.1451333994016535,5.1451333994016535,3.670320605350885,-2.459999999999999,19.30570378476361,8.9573015663305,4.450264787274251,6.404704101865769,6,366.48,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2cccc(F)c2)cc1,FALSE,FALSE,FALSE,FALSE,CHEMBL339457,NA,None,366.48,0,4.49,6e,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2cccc(F)c2)cc1,EC50,'=',4.6,nM,8.34,NA,NA,UO_0000065,NA,NA,NA,NA,0,CHEMBL751918,Effective concentration as delta agonist potency using [35S]GTP-gamma-S binding assay.,F,BAO_0000019,assay format,None,None,None,None,None,NA,NA,NA,CHEMBL236,Homo sapiens,SINGLE PROTEIN,CHEMBL1133469,1,Scientific Literature,J Med Chem,2000,None,NA,1,3,1,"EC504.6'='nM, IC500.74'='nM, IC500.44'='nM",DOR,CHEMBL339457 NA
36,505.236541852,505.61800000000034,6,3,4,3,4,38,69,6,1,0.34375,8,4,4,1,3,1,1,2,1,2,4,1,221.17139417857493,77.59,4.549100000000004,145.53219999999982,21.459117958512063,13.683509111916806,9.932176978032718,9.932176978032718,8.3447671188503,21.459117958512063,13.683509111916806,9.932176978032718,9.932176978032718,8.3447671188503,-3.769999999999999,22.23519344255815,7.637034100450038,2.6835454620106636,4.468708698708412,6,505.61800000000034,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2c2[nH]c4ccccc4c2C[C@@]3(NC(=O)CCc2ccccc2)C1C5,FALSE,FALSE,FALSE,FALSE,CHEMBL2113373,NA,None,505.62,1,4.55,6e,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2c2[nH]c4ccccc4c2C[C@@]3(NC(=O)CCc2ccccc2)C1C5,Ki,'=',4.23,nM,8.37,NA,NA,UO_0000065,16.56,0.30,3.82,10.79,0,CHEMBL751253,Displacement of [3H]C1-DPDPE from human recombinant Opioid receptor delta 1 on CHO cell membranes.,B,BAO_0000219,cell-based format,None,None,None,CHO,None,NA,NA,NA,CHEMBL236,Homo sapiens,SINGLE PROTEIN,CHEMBL1144921,1,Scientific Literature,J Med Chem,2003,CHEMBL3308072,NA,1,2,1,"Ki4.23'='nM, EC501.4'='nM",DOR,CHEMBL2113373 NA
