ligID,exactmw,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumHeavyAtoms,NumAtoms,NumHeteroatoms,NumAmideBonds,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,labuteASA,tpsa,CrippenClogP,CrippenMR,chi0v,chi1v,chi2v,chi3v,chi4v,chi0n,chi1n,chi2n,chi3n,chi4n,hallKierAlpha,kappa1,kappa2,kappa3,Phi,maxring,newmw,newsmiles,aa,dipep,linear_peptide,macrocycle,Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,is_pos,activity_count,is_pos_avg,datapt_descs,target_ID,ligand
2,583.217463284,583.7760000000004,8,3,8,3,6,40,77,10,1,0.5,5,3,2,2,1,1,0,0,0,0,0,0,239.20030495825273,125.46,5.755900000000005,157.02349999999976,24.829916767837556,16.305233991239504,10.725467067946893,10.725467067946893,8.475047234631392,23.196923605982104,14.005574162717387,7.7796462947956115,7.7796462947956115,5.808644534602993,-2.8199999999999994,28.69946665169628,11.217626859089348,6.23651337281139,8.048497698840182,6,583.7760000000004,CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)c2ccccc12,FALSE,FALSE,FALSE,FALSE,CHEMBL4128926,NA,None,583.78,2,5.76,1j,CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)c2ccccc12,IC50,'=',1.1,nM,8.96,NA,NA,UO_0000065,15.35,0.31,3.20,7.14,0,CHEMBL4121496,Displacement of [3H]DAMGO from human recombinant mu receptor after 120 mins by scintillation counting analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,NA,NA,NA,CHEMBL233,Homo sapiens,SINGLE PROTEIN,CHEMBL4118122,1,Scientific Literature,Bioorg Med Chem Lett,2018,None,NA,1,1,1,IC501.1'='nM,MOR,CHEMBL4128926 NA
7,276.183778008,276.38,4,3,4,2,3,20,44,4,1,0.5625,2,1,1,1,0,0,0,0,0,0,2,0,120.13047332938972,66.56,1.7249,79.36870000000003,12.302311002534276,7.207153345755209,4.268391028080416,4.268391028080416,3.233012471780832,12.302311002534276,7.207153345755209,4.268391028080416,4.268391028080416,3.233012471780832,-1.39,15.007553413438645,5.935576480140485,3.019784702901703,4.453924053262924,6,276.38,CN(C)C[C@H]1CCCC[C@]1(O)c1cccc(C(N)=O)c1,FALSE,FALSE,FALSE,FALSE,CHEMBL443601,NA,None,276.38,0,1.72,19b,CN(C)C[C@H]1CCCC[C@]1(O)c1cccc(C(N)=O)c1,Ki,'=',9.5,nM,8.02,NA,NA,UO_0000065,29.03,0.55,6.30,12.05,0,CHEMBL1019876,Displacement of [3H]DAMGO form human mu opioid receptor expressed in CHO cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,NA,NA,NA,CHEMBL233,Homo sapiens,SINGLE PROTEIN,CHEMBL1139291,1,Scientific Literature,Bioorg Med Chem Lett,2009,CHEMBL3308072,NA,1,1,1,Ki9.5'='nM,MOR,CHEMBL443601 NA
14,373.1790269760001,373.456,5,2,6,1,4,28,51,5,1,0.21739130434782608,4,3,1,0,2,1,0,1,0,0,0,0,164.32385274218868,68.45000000000002,3.5736000000000026,108.39790000000002,15.674660908135897,9.4902729389714,5.093047342514352,5.093047342514352,3.4635650436788317,15.674660908135897,9.4902729389714,5.093047342514352,5.093047342514352,3.4635650436788317,-3.179999999999999,18.195795203942776,8.231177654246963,4.37741464132378,5.349029388712423,6,373.456,NC(=O)c1ccc(Oc2ccc(CCN3CCc4ccccc4C3)cc2)nc1,FALSE,FALSE,FALSE,FALSE,CHEMBL237295,NA,None,373.46,0,3.57,14,NC(=O)c1ccc(Oc2ccc(CCN3CCc4ccccc4C3)cc2)nc1,Ki,'=',5.05,nM,8.3,NA,NA,UO_0000065,22.22,0.40,4.73,12.12,0,CHEMBL901089,Displacement of [3H]diprenorphine from cloned human mu opioid receptor expressed in CHO cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,NA,NA,NA,CHEMBL233,Homo sapiens,SINGLE PROTEIN,CHEMBL1138307,1,Scientific Literature,Bioorg Med Chem Lett,2007,CHEMBL3308072,NA,1,1,1,Ki5.05'='nM,MOR,CHEMBL237295 NA
17,787.4017096560001,787.919,17,14,22,11,9,57,110,17,5,0.375,3,3,0,0,0,0,0,0,0,0,5,0,330.5862521613481,304.94,-0.08318999999998944,212.48999999999967,32.04777656706799,18.46579442947867,9.184866254895171,9.184866254895171,6.161013466206423,32.04777656706799,18.46579442947867,9.184866254895171,9.184866254895171,6.161013466206423,-6.49,44.90339569893027,22.159485123733088,15.283723573792471,17.45677419290431,6,787.919,Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(N)=O)C(=O)O,TRUE,FALSE,TRUE,FALSE,CHEMBL4288649,NA,None,787.92,2,-0.08,18,Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(N)=O)C(=O)O,Ki,'=',0.34,nM,9.47,NA,NA,UO_0000065,12.02,0.23,9.55,3.11,0,CHEMBL4276376,Displacement of [3H]DAMGO from human MOR expressed in CHO cell membranes after 60 mins by liquid scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,NA,NA,NA,CHEMBL233,Homo sapiens,SINGLE PROTEIN,CHEMBL4270665,1,Scientific Literature,J Med Chem,2018,None,NA,1,2,1,"Ki0.34'='nM, EC500.28'='nM",MOR,CHEMBL4288649 NA
21,341.192568864,341.52400000000017,3,2,2,1,4,24,51,4,0,0.65,5,2,3,2,2,1,1,1,0,2,3,0,147.7995572963745,42.15,4.202800000000003,101.57140000000004,15.533021145835097,10.295447241806222,8.208598110831783,8.208598110831783,6.1690039431912265,14.71652456490737,9.478950660878496,7.361270238672203,7.361270238672203,5.389374414986756,-1.13,15.150549958039988,5.183065702402646,2.084640940077243,3.271928994168954,6,341.52400000000017,C[C@H]1[C@H]2Cc3cc4sc(N)nc4cc3[C@@]1(C)CCN2CC1CCC1,FALSE,FALSE,FALSE,FALSE,CHEMBL4211113,NA,None,341.52,0,4.20,36,C[C@H]1[C@H]2Cc3cc4sc(N)nc4cc3[C@@]1(C)CCN2CC1CCC1,Ki,'=',8.3,nM,8.08,NA,NA,UO_0000065,23.66,0.46,3.88,19.17,0,CHEMBL4197659,Displacement of [3H]DAMGO from MOR (unknown origin) expressed in CHO cell membranes,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,NA,NA,NA,CHEMBL233,Homo sapiens,SINGLE PROTEIN,CHEMBL4196036,1,Scientific Literature,Eur J Med Chem,2018,None,NA,1,1,1,Ki8.3'='nM,MOR,CHEMBL4211113 NA
24,487.283492044,487.6440000000003,6,4,9,3,5,36,73,6,1,0.36666666666666664,4,3,1,0,1,0,0,1,0,0,1,0,213.63795338342592,87.82000000000001,4.152240000000003,142.97789999999995,21.511524201319364,12.69798208327883,6.935299088882661,6.935299088882661,5.031494682912903,21.511524201319364,12.69798208327883,6.935299088882661,6.935299088882661,5.031494682912903,-3.349999999999999,25.73425179348072,11.58979549177572,6.2518768318919875,8.284853206119559,6,487.6440000000003,CCOc1ccc(CN2CCc3ccccc3C2)cc1CNC(=O)[C@@H](N)Cc1c(C)cc(O)cc1C,TRUE,FALSE,FALSE,FALSE,CHEMBL4440537,NA,None,601.67,0,4.15,18,CCOc1ccc(CN2CCc3ccccc3C2)cc1CNC(=O)[C@@H](N)Cc1c(C)cc(O)cc1C.O=C(O)C(F)(F)F,EC50,'=',1.9,nM,8.72,NA,NA,UO_0000065,NA,NA,NA,NA,0,CHEMBL4381839,Agonist activity at human MOR expressed in CHO cell membranes assessed as stimulation of [35S]-GTPgammaS binding incubated for 1 hr by by liquid scintillation counting assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,NA,NA,NA,CHEMBL233,Homo sapiens,SINGLE PROTEIN,CHEMBL4376894,1,Scientific Literature,J Med Chem,2020,CHEMBL3308072,NA,1,2,1,"EC501.9'='nM, Ki0.23'='nM",MOR,CHEMBL4440537 NA
29,297.209264484,297.44200000000006,2,1,2,1,2,22,49,2,0,0.7,5,1,4,3,1,0,1,1,0,2,3,0,133.07133552933198,23.47,3.8606000000000025,88.14880000000007,13.429596618003153,9.326205183270682,7.124940179006949,7.124940179006949,5.9312889193419895,13.429596618003153,9.326205183270682,7.124940179006949,7.124940179006949,5.9312889193419895,-1.02,13.421825357804256,4.737009225238451,1.889864612918316,2.8899686608844606,6,297.44200000000006,Oc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CC1)CC3,FALSE,FALSE,FALSE,FALSE,CHEMBL49269,CYCLORPHAN,None,297.44,0,3.86,Cyclorphan,Oc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CC1)CC3,EC50,'=',0.8,nM,9.1,NA,NA,UO_0000065,NA,NA,NA,NA,0,CHEMBL2050641,Agonist activity at human mu opioid receptor expressed in CHO cells assessed as stimulation of [33S]GTPgammaS binding after 60 mins by scintillation counting,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,NA,NA,NA,CHEMBL233,Homo sapiens,SINGLE PROTEIN,CHEMBL2046406,1,Scientific Literature,J Med Chem,2012,CHEMBL3308072,NA,1,21,1,"EC500.8'='nM, Ki0.062'='nM, Ki0.062'='nM, EC500.8'='nM, IC501.7'='nM, IC501.7'='nM, IC501.7'='nM, Ki0.062'='nM, Ki0.062'='nM, EC500.8'='nM, Ki0.062'='nM, Ki0.062'='nM, Ki0.062'='nM, EC500.8'='nM, IC501.7'='nM, EC500.8'='nM, EC500.8'='nM, IC501.7'='nM, EC500.8'='nM, IC501.7'='nM, Ki0.062'='nM",MOR,CHEMBL49269 CYCLORPHAN
30,434.24887680000006,435.0550000000003,2,1,5,1,2,31,66,3,0,0.5714285714285714,6,2,4,3,1,0,1,1,0,2,3,0,191.9172086224829,15.27,6.810600000000007,129.87970000000004,19.33989108066247,12.948019081267011,9.331048638278457,9.331048638278457,7.3605814416044675,18.583962134644015,12.570054608257784,9.07907232293897,9.07907232293897,7.234593283934725,-1.5099999999999998,20.12209904232666,8.120750083706744,3.6029681025496143,5.271178628462246,6,435.0550000000003,Clc1ccc(CNc2ccc3c(c2)[C@@]24CCCC[C@H]2[C@@H](C3)N(CC2CCC2)CC4)cc1,FALSE,FALSE,FALSE,FALSE,CHEMBL2048763,NA,None,435.06,1,6.81,"3d, MCL-668",Clc1ccc(CNc2ccc3c(c2)[C@@]24CCCC[C@H]2[C@@H](C3)N(CC2CCC2)CC4)cc1,Ki,'=',1.7,nM,8.77,NA,NA,UO_0000065,20.16,0.39,1.96,57.43,0,CHEMBL2050632,Displacement of [3H]-DAMGO from human mu opioid receptor expressed in CHO cells after 60 mins by scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,NA,NA,NA,CHEMBL233,Homo sapiens,SINGLE PROTEIN,CHEMBL2046406,1,Scientific Literature,J Med Chem,2012,CHEMBL3308072,NA,1,1,1,Ki1.7'='nM,MOR,CHEMBL2048763 NA
32,297.209264484,297.44200000000006,2,1,2,1,2,22,49,2,0,0.7,5,1,4,3,1,0,1,1,0,2,3,0,133.07133552933198,23.47,3.8606000000000025,88.14880000000007,13.429596618003153,9.326205183270682,7.124940179006949,7.124940179006949,5.9312889193419895,13.429596618003153,9.326205183270682,7.124940179006949,7.124940179006949,5.9312889193419895,-1.02,13.421825357804256,4.737009225238451,1.889864612918316,2.8899686608844606,6,297.44200000000006,Oc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CC1)CC3,FALSE,FALSE,FALSE,FALSE,CHEMBL49269,CYCLORPHAN,None,297.44,0,3.86,1,Oc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CC1)CC3,Ki,'=',0.062,nM,10.21,NA,NA,UO_0000065,34.32,0.63,6.35,43.49,1,CHEMBL1769429,Displacement of [3H]DAMGO from human mu opioid receptor expressed in CHO cells after 60 mins by scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,NA,NA,NA,CHEMBL233,Homo sapiens,SINGLE PROTEIN,CHEMBL1765082,1,Scientific Literature,J Med Chem,2011,CHEMBL3308072,NA,1,21,1,"EC500.8'='nM, Ki0.062'='nM, Ki0.062'='nM, EC500.8'='nM, IC501.7'='nM, IC501.7'='nM, IC501.7'='nM, Ki0.062'='nM, Ki0.062'='nM, EC500.8'='nM, Ki0.062'='nM, Ki0.062'='nM, Ki0.062'='nM, EC500.8'='nM, IC501.7'='nM, EC500.8'='nM, EC500.8'='nM, IC501.7'='nM, EC500.8'='nM, IC501.7'='nM, Ki0.062'='nM",MOR,CHEMBL49269 CYCLORPHAN
35,416.282763772,416.6090000000002,3,1,6,1,3,31,67,3,0,0.5714285714285714,6,2,4,3,1,0,1,1,0,2,3,0,186.7274876251081,24.5,5.775700000000006,126.80470000000008,18.907139170912103,12.493444807448965,8.797047742819785,8.797047742819785,7.0007752007028,18.907139170912103,12.493444807448965,8.797047742819785,8.797047742819785,7.0007752007028,-1.9999999999999996,19.66782006920415,7.847750865051904,3.551885907299681,4.978972643928453,6,416.6090000000002,COc1ccc(CNc2ccc3c(c2)[C@@]24CCCC[C@H]2[C@@H](C3)N(CC2CC2)CC4)cc1,FALSE,FALSE,FALSE,FALSE,CHEMBL568877,NA,None,416.61,1,5.78,"3h, MCL-628",COc1ccc(CNc2ccc3c(c2)[C@@]24CCCC[C@H]2[C@@H](C3)N(CC2CC2)CC4)cc1,EC50,'=',6.8,nM,8.17,NA,NA,UO_0000065,NA,NA,NA,NA,0,CHEMBL2050641,Agonist activity at human mu opioid receptor expressed in CHO cells assessed as stimulation of [33S]GTPgammaS binding after 60 mins by scintillation counting,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,NA,NA,NA,CHEMBL233,Homo sapiens,SINGLE PROTEIN,CHEMBL2046406,1,Scientific Literature,J Med Chem,2012,CHEMBL3308072,NA,1,4,1,"EC506.8'='nM, IC5010'='nM, Ki0.31'='nM, Ki0.31'='nM",MOR,CHEMBL568877 NA
