ligID,exactmw,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumHeavyAtoms,NumAtoms,NumHeteroatoms,NumAmideBonds,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,labuteASA,tpsa,CrippenClogP,CrippenMR,chi0v,chi1v,chi2v,chi3v,chi4v,chi0n,chi1n,chi2n,chi3n,chi4n,hallKierAlpha,kappa1,kappa2,kappa3,Phi,maxring,newmw,newsmiles,aa,dipep,linear_peptide,macrocycle,target_id,target_comment,ligand,SMILES,Type,Action,assay_summary
231,366.247127212,366.5240000000003,2,0,5,0,2,27,58,3,0,0.5,4,2,2,2,1,0,1,1,0,0,1,1,162.54134313459485,6.48,5.0598000000000045,109.30600000000008,16.19431243696051,10.575298348358547,6.416816852778555,6.416816852778555,4.878842024997691,16.19431243696051,10.575298348358547,6.416816852778555,6.416816852778555,4.878842024997691,-1.71,18.6439514804065,8.986607197167004,4.58756524217592,6.205402539164943,6,366.5240000000003,Fc1ccccc1C(Cc1ccccc1)N1CCN(C2CCCCC2)CC1,FALSE,FALSE,FALSE,FALSE,MOR,gtp 319 &mu; receptor,10725 2F-MT-45,Fc1ccccc1C(N1CCN(CC1)C1CCCCC1)Cc1ccccc1,Agonist,Agonist,pEC50 = 6.7
232,366.247127212,366.5240000000003,2,0,5,0,2,27,58,3,0,0.5,4,2,2,2,1,0,1,1,0,0,1,1,162.54134313459485,6.48,5.0598000000000045,109.30600000000008,16.19431243696051,10.56931528421484,6.386042959899982,6.386042959899982,4.869382416313204,16.19431243696051,10.56931528421484,6.386042959899982,6.386042959899982,4.869382416313204,-1.71,18.6439514804065,8.986607197167004,4.771823597720613,6.205402539164943,6,366.5240000000003,Fc1cccc(C(Cc2ccccc2)N2CCN(C3CCCCC3)CC2)c1,FALSE,FALSE,FALSE,FALSE,MOR,gtp 319 &mu; receptor,10726 3F-MT-45,Fc1cccc(c1)C(N1CCN(CC1)C1CCCCC1)Cc1ccccc1,Agonist,Agonist,pEC50 = 6.21
233,366.247127212,366.5240000000003,2,0,5,0,2,27,58,3,0,0.5,4,2,2,2,1,0,1,1,0,0,1,1,162.54134313459485,6.48,5.0598000000000045,109.30600000000004,16.19431243696051,10.569315284214843,6.40737427770746,6.40737427770746,4.840450900128746,16.19431243696051,10.569315284214843,6.40737427770746,6.40737427770746,4.840450900128746,-1.71,18.6439514804065,8.986607197167004,4.771823597720613,6.205402539164943,6,366.5240000000003,Fc1ccc(C(Cc2ccccc2)N2CCN(C3CCCCC3)CC2)cc1,FALSE,FALSE,FALSE,FALSE,MOR,gtp 319 &mu; receptor,10727 4F-MT-45,Fc1ccc(cc1)C(N1CCN(CC1)C1CCCCC1)Cc1ccccc1,Agonist,Agonist,pEC50 = 6.77
234,392.209992756,392.49900000000014,5,2,4,2,4,29,57,5,1,0.375,4,2,2,1,2,0,1,2,1,0,0,0,171.54553429463564,61.80000000000001,3.8205000000000022,114.34200000000004,17.072366612563936,10.413203098067456,5.933253979272252,5.933253979272252,4.272417200755152,17.072366612563936,10.413203098067456,5.933253979272252,5.933253979272252,4.272417200755152,-2.7899999999999996,19.52313684177463,7.91396074862671,3.6247525795013225,5.327770298478361,6,392.49900000000014,CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)c(O)c1,FALSE,FALSE,FALSE,FALSE,MOR,gtp 319 &mu; receptor,9003 ADL5747,CCN(C(=O)c1ccc(c(c1)O)C1=CC2(CCNCC2)Oc2c1cccc2)CC,Agonist,Agonist,pKi = 7.74
235,392.209992756,392.49900000000014,5,2,4,2,4,29,57,5,1,0.375,4,2,2,1,2,0,1,2,1,0,0,0,171.54553429463564,61.80000000000001,3.8205000000000022,114.34200000000004,17.072366612563936,10.413203098067456,5.937594661112296,5.937594661112296,4.268753007937752,17.072366612563936,10.413203098067456,5.937594661112296,5.937594661112296,4.268753007937752,-2.7899999999999996,19.52313684177463,7.91396074862671,3.6247525795013225,5.327770298478361,6,392.49900000000014,CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3cccc(O)c32)cc1,FALSE,FALSE,FALSE,FALSE,MOR,gtp 319 &mu; receptor,9004 ADL5859,CCN(C(=O)c1ccc(cc1)C1=CC2(CCNCC2)Oc2c1c(O)ccc2)CC,Agonist,Agonist,pKi = 7.49
236,348.22016351599996,348.49,3,1,5,1,2,26,54,3,1,0.34782608695652173,3,2,1,1,1,0,1,1,0,0,0,0,156.27864435206538,32.34,4.353900000000004,108.26120000000004,15.794254995789744,9.620664407330656,5.094304953247972,5.094304953247972,3.631153693578468,15.794254995789744,9.620664407330656,5.094304953247972,5.094304953247972,3.631153693578468,-2.3899999999999992,18.402547815343876,8.814687039409955,4.0496210705364835,6.238949989232064,6,348.49,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccccc2)cc1,FALSE,FALSE,FALSE,FALSE,MOR,gtp 319 &mu; receptor,9005 AR-M1000390,CCN(C(=O)c1ccc(cc1)C(=C1CCNCC1)c1ccccc1)CC,Agonist,Agonist,pIC50 = 5.42
237,553.326419476,553.7040000000002,10,8,13,6,6,40,83,10,4,0.4666666666666667,2,2,0,0,0,0,0,0,0,0,4,0,235.82714548192055,176.64,1.373240000000003,154.06869999999975,24.154674357572897,13.497893035211202,6.877979061804085,6.877979061804085,4.512455431915195,24.154674357572897,13.497893035211202,6.877979061804085,6.877979061804085,4.512455431915195,-3.919999999999999,32.29284048367971,14.460953462632508,9.082085408220996,11.674631585267685,6,553.7040000000002,Cc1cc(O)cc(C)c1C[C@@H](N)C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](Cc1ccccc1)C(N)=O)C(C)C)C(C)C,TRUE,FALSE,TRUE,FALSE,MOR,gtp 319 &mu; receptor,10518 bilorphin,Oc1cc(C)c(c(c1)C)C[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N)Cc1ccccc1)C(C)C)C(C)C)N,Agonist,Agonist,pKi = 8.96
238,428.246378264,428.5760000000003,4,2,2,2,4,32,64,4,0,0.5,8,2,6,3,2,0,2,2,1,6,7,0,189.8262871915907,44.73,3.9547000000000025,124.66750000000005,19.136656105675108,12.010208356468883,10.346944212179334,10.346944212179334,9.15765900828607,19.136656105675108,12.010208356468883,10.346944212179334,10.346944212179334,9.15765900828607,-2.1399999999999997,19.3402412181723,5.8538113126132245,1.8279883432853563,3.5379413384876743,6,428.5760000000003,CO[C@]12C=C[C@]34C[C@@]1(C)[C@@H](c1ccccc1)N[C@H]2[C@@]31CCN(C)[C@@H]4Cc2ccc(O)cc21,FALSE,FALSE,FALSE,FALSE,MOR,gtp 319 &mu; receptor,9363 BU72,CO[C@@]12C=C[C@@]34[C@@]5([C@@H]1N[C@@H]([C@]2(C)C3)c1ccccc1)CCN([C@@H]4Cc1c5cc(O)cc1)C,Agonist,Agonist,pIC50 = 9.82
239,435.288577424,435.6120000000002,5,1,8,1,4,32,69,5,1,0.4444444444444444,3,2,1,1,1,0,1,1,0,0,3,0,192.5024517186465,47.02,4.5442000000000045,131.04330000000002,19.86794658985849,11.679065181946823,6.568504917469932,6.568504917469932,4.776573261150539,19.86794658985849,11.679065181946823,6.568504917469932,6.568504917469932,4.776573261150539,-2.629999999999999,24.021138137680097,10.795184597994748,5.222190438790729,8.103519389068389,6,435.6120000000002,C=CCN1C[C@H](C)N([C@H](c2ccc(C(=O)N(CC)CC)cc2)c2cccc(O)c2)C[C@H]1C,FALSE,FALSE,FALSE,FALSE,MOR,gtp 319 &mu; receptor,9002 BW373U86,C=CCN1C[C@H](C)N(C[C@H]1C)[C@@H](c1cccc(c1)O)c1ccc(cc1)C(=O)N(CC)CC,Agonist,Agonist,pKi = 7.82
240,435.288577424,435.6120000000002,5,1,8,1,4,32,69,5,1,0.4444444444444444,3,2,1,1,1,0,1,1,0,0,3,0,192.5024517186465,47.02,4.5442000000000045,131.04330000000002,19.86794658985849,11.679065181946823,6.568504917469932,6.568504917469932,4.776573261150539,19.86794658985849,11.679065181946823,6.568504917469932,6.568504917469932,4.776573261150539,-2.629999999999999,24.021138137680097,10.795184597994748,5.222190438790729,8.103519389068389,6,435.6120000000002,C=CCN1C[C@H](C)N([C@H](c2ccc(C(=O)N(CC)CC)cc2)c2cccc(O)c2)C[C@H]1C,FALSE,FALSE,FALSE,FALSE,MOR,gtp 319 &mu; receptor,9002 BW373U86,C=CCN1C[C@H](C)N(C[C@H]1C)[C@@H](c1cccc(c1)O)c1ccc(cc1)C(=O)N(CC)CC,Agonist,Agonist,pKi = 6.59
